source,target,anchor,reason
/guides/teen-patti-guide/,/card-games/,"Card Games","route article to closest hub"
/card-games/,/guides/teen-patti-guide/,"K1 Game Teen Patti Guide","supporting long-tail guide"
/guides/mines-beginner-guide/,/mines-guide/,"Mines Guide","route article to closest hub"
/mines-guide/,/guides/mines-beginner-guide/,"K1 Game Mines Beginner Guide","supporting long-tail guide"
/guides/crash-games-explained/,/crash-games/,"Crash Games","route article to closest hub"
/crash-games/,/guides/crash-games-explained/,"K1 Game Crash Games Explained","supporting long-tail guide"
/guides/dragon-tiger-rules/,/fishing-games/,"Fishing Games","route article to closest hub"
/fishing-games/,/guides/dragon-tiger-rules/,"K1 Game Dragon Tiger Rules","supporting long-tail guide"
/guides/fishing-game-guide/,/card-games/,"Card Games","route article to closest hub"
/card-games/,/guides/fishing-game-guide/,"K1 Game Fishing Game Guide","supporting long-tail guide"
/guides/card-games-vs-mines/,/mines-guide/,"Mines Guide","route article to closest hub"
/mines-guide/,/guides/card-games-vs-mines/,"K1 Game Card Games vs Mines","supporting long-tail guide"
/guides/game-risk-levels/,/crash-games/,"Crash Games","route article to closest hub"
/crash-games/,/guides/game-risk-levels/,"K1 Game Risk Levels by Game Type","supporting long-tail guide"
/guides/beginner-mistakes/,/fishing-games/,"Fishing Games","route article to closest hub"
/fishing-games/,/guides/beginner-mistakes/,"Common Beginner Mistakes in K1 Game","supporting long-tail guide"
/guides/game-library-faq/,/card-games/,"Card Games","route article to closest hub"
/card-games/,/guides/game-library-faq/,"K1 Game Library FAQ","supporting long-tail guide"
/guides/responsible-play-guide/,/mines-guide/,"Mines Guide","route article to closest hub"
/mines-guide/,/guides/responsible-play-guide/,"Responsible Play Guide for K1 Game Users","supporting long-tail guide"
/guides/aviator-style-games/,/crash-games/,"Crash Games","route article to closest hub"
/crash-games/,/guides/aviator-style-games/,"K1 Game Aviator-Style Games","supporting long-tail guide"
/guides/weekly-game-notes/,/fishing-games/,"Fishing Games","route article to closest hub"
/fishing-games/,/guides/weekly-game-notes/,"Weekly K1 Game Library Notes","supporting long-tail guide"
